Metrics,/nfs/site/disks/icf_qa001/adf_qa_runs/1271/dot6/asic_kits/cadence/afdk71.6_r2.6_c/tb_scan,/nfs/site/disks/icf_qa001/adf_qa_runs/1271/dot6/asic_kits/cadence/afdk71.6_r2.7_c/tb_jpeg_idct_pipe32_subsys_base_SCAN,/nfs/site/disks/icf_qa001/adf_qa_runs/1271/dot6/asic_kits/cadence/afdk71.6_r2.6_c/tb_noscan/,/nfs/site/disks/icf_qa001/adf_qa_runs/1271/dot6/asic_kits/cadence/afdk71.6_r2.7_c/tb_jpeg_idct_pipe32_subsys_base_NOSCAN
apr_Cell_Count,333410,,,
apr_REG2REG_total_hold_viol,-0.001,-0.004,0,-0.001
apr_REG2REG_total_neg_slack,0,0,0,0
apr_REG2REG_worst_hold_viol,-0.001,-0.003,0.001,-0.001
apr_REG2REG_worst_setup_viol,0.001,0,0.001,0
apr_Utilization(post route),69.54%,67.17%,48.97%,48.00%
apr_clk_total_hold_viol,-0.001,-0.004,0,-0.001
apr_clk_total_neg_slack,0,0,0,0
apr_clk_worst_hold_viol,-0.001,-0.003,0.001,-0.001
apr_clk_worst_setup_viol,0.001,0,0.001,0
apr_max_cap_viols,0,0,0,0
apr_max_fanout_viols,-25,-21,-35,-32
apr_max_trans_viols,0,0,0,0
apr_post_cts_fall_skew,(),(),(),()
apr_post_cts_rise_skew,(),(),(),()
syn_Cell_Count,74840,75049,71655,73202
syn_REG2REG_total_neg_slack,0,-1,-3,-2
syn_REG2REG_violating_path,1,4,3,6
syn_REG2REG_worst_setup_viol,-0.2,-0.4,-1.7,-1.1
syn_clk_total_neg_slack,0,0,0,0
syn_clk_violating_path,0,0,0,0
syn_clk_worst_setup_viol,272.8,333.3,3.1,309.1
syn_cpu_runtime,6030.787 seconds,4188.918 seconds,5828.447 seconds,4229.263 seconds
syn_max_cap_viols,685.6,97.2,785.3,71.3
syn_max_trans_viols,7660,1114,9856,1017
,,,,
drcc,327,4,260,2
STA,-145,-130,-224,
power ,113,110,46,39
power leakage,1.3,1.2,0.97,1
